ProvincialUnit,Date,ElectricityConsumption
Zhejiang,2011/1/31,38782.1
Anhui,2011/1/31,25814.66
Fujian,2011/1/31,26739.93
Shanghai,2011/2/1,31048.19
Jiangsu,2011/2/1,66395.99
Zhejiang,2011/2/1,37008.2
Anhui,2011/2/1,23799.98
Fujian,2011/2/1,25101.05
Shanghai,2011/2/2,26645.0
Jiangsu,2011/2/2,58372.01
Zhejiang,2011/2/2,34194.2
Anhui,2011/2/2,22244.62
Fujian,2011/2/2,24890.74
Shanghai,2011/2/3,24761.12
Jiangsu,2011/2/3,53839.0
Zhejiang,2011/2/3,30630.1
Anhui,2011/2/3,20796.64
Fujian,2011/2/3,22438.21
Shanghai,2011/2/4,24184.6
Jiangsu,2011/2/4,52861.01
Zhejiang,2011/2/4,28859.9
Anhui,2011/2/4,19724.05
Fujian,2011/2/4,21345.08
Shanghai,2011/2/5,24463.64
Jiangsu,2011/2/5,54555.0
Zhejiang,2011/2/5,28840.6
Anhui,2011/2/5,19817.54
Fujian,2011/2/5,22163.32
Shanghai,2011/2/6,25074.9
Jiangsu,2011/2/6,55718.0
Zhejiang,2011/2/6,28026.8
Anhui,2011/2/6,19767.93
Fujian,2011/2/6,22296.21
Shanghai,2011/2/7,25819.85
Jiangsu,2011/2/7,58825.02
Zhejiang,2011/2/7,29919.0
Anhui,2011/2/7,20688.42
Fujian,2011/2/7,22912.06
Shanghai,2011/2/8,26205.0
Jiangsu,2011/2/8,62695.0
Zhejiang,2011/2/8,30238.0
Anhui,2011/2/8,21341.0
Fujian,2011/2/8,23552.0
Shanghai,2011/2/9,30740.88
Jiangsu,2011/2/9,72780.0
Zhejiang,2011/2/9,33760.6
Anhui,2011/2/9,24052.98
Fujian,2011/2/9,25196.8
Shanghai,2011/2/10,34414.0
Jiangsu,2011/2/10,82133.0
Zhejiang,2011/2/10,40020.0
Anhui,2011/2/10,26441.0
Fujian,2011/2/10,26649.0
Shanghai,2011/2/11,35730.51
Jiangsu,2011/2/11,87672.0
Zhejiang,2011/2/11,45422.0
Anhui,2011/2/11,27147.22
Fujian,2011/2/11,29081.41
Shanghai,2011/2/12,36557.88
Jiangsu,2011/2/12,92597.0
Zhejiang,2011/2/12,50199.0
Anhui,2011/2/12,27732.9
Fujian,2011/2/12,30349.25
Shanghai,2011/2/13,35499.86
Jiangsu,2011/2/13,94716.0
Zhejiang,2011/2/13,54583.7
Anhui,2011/2/13,28414.97
Fujian,2011/2/13,31226.51
Shanghai,2011/2/14,39433.88
Jiangsu,2011/2/14,101094.0
Zhejiang,2011/2/14,60125.0
Anhui,2011/2/14,30010.55
Fujian,2011/2/14,32357.63
Shanghai,2011/2/15,39734.42
Jiangsu,2011/2/15,104862.0
Zhejiang,2011/2/15,63606.5
Anhui,2011/2/15,30417.85
Fujian,2011/2/15,34405.89
Shanghai,2011/2/16,40027.05
Jiangsu,2011/2/16,107451.0
Zhejiang,2011/2/16,65438.5
Anhui,2011/2/16,30583.03
Fujian,2011/2/16,34165.19
Shanghai,2011/2/17,39653.88
Jiangsu,2011/2/17,105965.0
Zhejiang,2011/2/17,64979.3
Anhui,2011/2/17,28773.78
Fujian,2011/2/17,32738.93
Shanghai,2011/2/18,39969.37
Jiangsu,2011/2/18,105670.0
Zhejiang,2011/2/18,67084.4
Anhui,2011/2/18,29645.25
Fujian,2011/2/18,35011.01
Shanghai,2011/2/19,37168.32
Jiangsu,2011/2/19,106282.0
Zhejiang,2011/2/19,68382.6
Anhui,2011/2/19,29535.62
Fujian,2011/2/19,35667.17
Shanghai,2011/2/20,34568.15
Jiangsu,2011/2/20,101330.0
Zhejiang,2011/2/20,66225.2
Anhui,2011/2/20,28985.04
Fujian,2011/2/20,34981.08
Shanghai,2011/2/21,36994.26
Jiangsu,2011/2/21,104865.01
Zhejiang,2011/2/21,69102.2
Anhui,2011/2/21,29501.69
Fujian,2011/2/21,35866.6
Shanghai,2011/2/22,36353.58
Jiangsu,2011/2/22,106415.0
Zhejiang,2011/2/22,70718.2
Anhui,2011/2/22,29580.35
Fujian,2011/2/22,36309.57
Shanghai,2011/2/23,35073.32
Jiangsu,2011/2/23,104175.01
Zhejiang,2011/2/23,70638.9
Anhui,2011/2/23,28981.16
Fujian,2011/2/23,36222.5
Shanghai,2011/2/24,34654.6
Jiangsu,2011/2/24,103299.0
Zhejiang,2011/2/24,71069.6
Anhui,2011/2/24,28627.29
Fujian,2011/2/24,36605.49
Shanghai,2011/2/25,36034.51
Jiangsu,2011/2/25,106227.01
Zhejiang,2011/2/25,72798.9
Anhui,2011/2/25,29121.25
Fujian,2011/2/25,36784.33
Shanghai,2011/2/26,34147.0
Jiangsu,2011/2/26,106201.0
Zhejiang,2011/2/26,72936.0
Anhui,2011/2/26,29158.0
Fujian,2011/2/26,36578.0
Shanghai,2011/2/27,31791.07
Jiangsu,2011/2/27,101758.0
Zhejiang,2011/2/27,70192.5
Anhui,2011/2/27,29488.52
Fujian,2011/2/27,35771.82
Shanghai,2011/2/28,37013.15
Jiangsu,2011/2/28,108850.0
Zhejiang,2011/2/28,73926.8
Anhui,2011/2/28,30597.35
Fujian,2011/2/28,36177.09
Shanghai,2011/3/1,39399.35
Jiangsu,2011/3/1,112965.99
Zhejiang,2011/3/1,76577.0
Anhui,2011/3/1,31249.23
Fujian,2011/3/1,36854.21
Shanghai,2011/3/2,38943.0
Jiangsu,2011/3/2,112306.0
Zhejiang,2011/3/2,77054.0
Anhui,2011/3/2,30805.0
Fujian,2011/3/2,38757.0
Shanghai,2011/3/3,38168.37
Jiangsu,2011/3/3,111425.0
Zhejiang,2011/3/3,77584.1
Anhui,2011/3/3,30456.82
Fujian,2011/3/3,39129.49
Shanghai,2011/3/4,37971.55
Jiangsu,2011/3/4,111278.0
Zhejiang,2011/3/4,77928.5
Anhui,2011/3/4,30541.09
Fujian,2011/3/4,39389.01
Shanghai,2011/3/5,35704.3
Jiangsu,2011/3/5,110252.0
Zhejiang,2011/3/5,78105.9
Anhui,2011/3/5,30767.99
Fujian,2011/3/5,38886.05
Shanghai,2011/3/6,34262.9
Jiangsu,2011/3/6,105621.0
Zhejiang,2011/3/6,75766.0
Anhui,2011/3/6,30225.24
Fujian,2011/3/6,37729.72
Shanghai,2011/3/7,36915.98
Jiangsu,2011/3/7,108433.01
Zhejiang,2011/3/7,76748.1
Anhui,2011/3/7,30129.7
Fujian,2011/3/7,38843.26
Shanghai,2011/3/8,36455.52
Jiangsu,2011/3/8,108612.0
Zhejiang,2011/3/8,76925.0
Anhui,2011/3/8,29515.65
Fujian,2011/3/8,39816.35
Shanghai,2011/3/9,36736.0
Jiangsu,2011/3/9,109496.0
Zhejiang,2011/3/9,77287.0
Anhui,2011/3/9,29567.0
Fujian,2011/3/9,39895.0
Shanghai,2011/3/10,36012.97
Jiangsu,2011/3/10,108446.0
Zhejiang,2011/3/10,77438.3
Anhui,2011/3/10,29439.57
Fujian,2011/3/10,40203.15
Shanghai,2011/3/11,35868.9
Jiangsu,2011/3/11,107661.0
Zhejiang,2011/3/11,77942.5
Anhui,2011/3/11,29440.32
Fujian,2011/3/11,40347.81
Shanghai,2011/3/12,33733.37
Jiangsu,2011/3/12,104842.0
Zhejiang,2011/3/12,77540.9
Anhui,2011/3/12,29062.91
Fujian,2011/3/12,39655.03
Shanghai,2011/3/13,31612.8
Jiangsu,2011/3/13,100338.0
Zhejiang,2011/3/13,74341.9
Anhui,2011/3/13,28267.22
Fujian,2011/3/13,38578.97
Shanghai,2011/3/14,35017.16
Jiangsu,2011/3/14,105695.0
Zhejiang,2011/3/14,76566.0
Anhui,2011/3/14,28883.28
Fujian,2011/3/14,39243.02
Shanghai,2011/3/15,37760.71
Jiangsu,2011/3/15,109501.01
Zhejiang,2011/3/15,78049.1
Anhui,2011/3/15,29713.95
Fujian,2011/3/15,39079.15
Shanghai,2011/3/16,36602.52
Jiangsu,2011/3/16,108430.99
Zhejiang,2011/3/16,77213.0
Anhui,2011/3/16,29343.32
Fujian,2011/3/16,40080.75
Shanghai,2011/3/17,35749.74
Jiangsu,2011/3/17,107162.99
Zhejiang,2011/3/17,76754.2
Anhui,2011/3/17,29114.34
Fujian,2011/3/17,40441.15
Shanghai,2011/3/18,36117.9
Jiangsu,2011/3/18,107777.0
Zhejiang,2011/3/18,76694.2
Anhui,2011/3/18,29028.13
Fujian,2011/3/18,40509.06
Shanghai,2011/3/19,33994.53
Jiangsu,2011/3/19,106119.0
Zhejiang,2011/3/19,75981.0
Anhui,2011/3/19,28963.1
Fujian,2011/3/19,38812.45
Shanghai,2011/3/20,32333.46
Jiangsu,2011/3/20,102074.0
Zhejiang,2011/3/20,73528.4
Anhui,2011/3/20,28334.99
Fujian,2011/3/20,38197.58
Shanghai,2011/3/21,37007.43
Jiangsu,2011/3/21,108707.0
Zhejiang,2011/3/21,75748.5
Anhui,2011/3/21,29376.36
Fujian,2011/3/21,39391.39
Shanghai,2011/3/22,37715.74
Jiangsu,2011/3/22,109714.0
Zhejiang,2011/3/22,77039.1
Anhui,2011/3/22,28832.26
Fujian,2011/3/22,40736.48
Shanghai,2011/3/23,36882.92
Jiangsu,2011/3/23,108860.0
Zhejiang,2011/3/23,76871.3
Anhui,2011/3/23,28785.19
Fujian,2011/3/23,41116.69
Shanghai,2011/3/24,35863.8
Jiangsu,2011/3/24,109124.0
Zhejiang,2011/3/24,76458.5
Anhui,2011/3/24,29227.74
Fujian,2011/3/24,41269.98
Shanghai,2011/3/25,35815.8
Jiangsu,2011/3/25,108978.01
Zhejiang,2011/3/25,76870.8
Anhui,2011/3/25,29496.79
Fujian,2011/3/25,40691.34
Shanghai,2011/3/26,33744.82
Jiangsu,2011/3/26,105953.0
Zhejiang,2011/3/26,76606.8
Anhui,2011/3/26,29037.14
Fujian,2011/3/26,41074.26
Shanghai,2011/3/27,31644.85
Jiangsu,2011/3/27,101128.0
Zhejiang,2011/3/27,74964.3
Anhui,2011/3/27,28343.97
Fujian,2011/3/27,40257.4
Shanghai,2011/3/28,34036.32
Jiangsu,2011/3/28,105190.99
Zhejiang,2011/3/28,75623.4
Anhui,2011/3/28,28646.49
Fujian,2011/3/28,40841.46
Shanghai,2011/3/29,34808.98
Jiangsu,2011/3/29,107152.02
Zhejiang,2011/3/29,76205.7
Anhui,2011/3/29,28743.06
Fujian,2011/3/29,40215.59
Shanghai,2011/3/30,35023.28
Jiangsu,2011/3/30,106634.0
Zhejiang,2011/3/30,76200.7
Anhui,2011/3/30,28771.51
Fujian,2011/3/30,40790.9
Shanghai,2011/3/31,34445.05
Jiangsu,2011/3/31,105645.0
Zhejiang,2011/3/31,75676.2
Anhui,2011/3/31,28496.78
Fujian,2011/3/31,39502.95
Shanghai,2011/4/1,33876.52
Jiangsu,2011/4/1,105167.8
Zhejiang,2011/4/1,74798.2
Anhui,2011/4/1,28270.51
Fujian,2011/4/1,39280.7
Shanghai,2011/4/2,33841.05
Jiangsu,2011/4/2,107470.01
Zhejiang,2011/4/2,75559.7
Anhui,2011/4/2,28998.91
Fujian,2011/4/2,39759.58
Shanghai,2011/4/3,32350.0
Jiangsu,2011/4/3,104140.0
Zhejiang,2011/4/3,75396.8
Anhui,2011/4/3,28640.73
Fujian,2011/4/3,39071.94
Shanghai,2011/4/4,30674.62
Jiangsu,2011/4/4,99661.01
Zhejiang,2011/4/4,73477.7
Anhui,2011/4/4,28054.26
Fujian,2011/4/4,38808.8
Shanghai,2011/4/5,28236.02
Jiangsu,2011/4/5,90116.01
Zhejiang,2011/4/5,65132.2
Anhui,2011/4/5,26842.84
Fujian,2011/4/5,35804.02
Shanghai,2011/4/6,33239.0
Jiangsu,2011/4/6,102638.0
Zhejiang,2011/4/6,73135.0
Anhui,2011/4/6,28499.0
Fujian,2011/4/6,39053.0
Shanghai,2011/4/7,34913.11
Jiangsu,2011/4/7,107878.01
Zhejiang,2011/4/7,76708.5
Anhui,2011/4/7,29211.28
Fujian,2011/4/7,40316.56
Shanghai,2011/4/8,34225.98
Jiangsu,2011/4/8,107074.0
Zhejiang,2011/4/8,76890.4
Anhui,2011/4/8,29075.41
Fujian,2011/4/8,40670.47
Shanghai,2011/4/9,32504.56
Jiangsu,2011/4/9,106099.01
Zhejiang,2011/4/9,76858.6
Anhui,2011/4/9,29015.16
Fujian,2011/4/9,40018.71
Shanghai,2011/4/10,30777.07
Jiangsu,2011/4/10,101654.0
Zhejiang,2011/4/10,75118.2
Anhui,2011/4/10,28039.8
Fujian,2011/4/10,39699.0
Shanghai,2011/4/11,33230.15
Jiangsu,2011/4/11,105044.0
Zhejiang,2011/4/11,75819.8
Anhui,2011/4/11,28538.03
Fujian,2011/4/11,40347.91
Shanghai,2011/4/12,33551.85
Jiangsu,2011/4/12,106888.01
Zhejiang,2011/4/12,76436.3
Anhui,2011/4/12,28718.7
Fujian,2011/4/12,40738.71
Shanghai,2011/4/13,33712.45
Jiangsu,2011/4/13,106751.01
Zhejiang,2011/4/13,76681.1
Anhui,2011/4/13,28792.91
Fujian,2011/4/13,40657.51
Shanghai,2011/4/14,33741.35
Jiangsu,2011/4/14,107098.99
Zhejiang,2011/4/14,77046.6
Anhui,2011/4/14,28909.97
Fujian,2011/4/14,40957.85
Shanghai,2011/4/15,34136.17
Jiangsu,2011/4/15,106961.0
Zhejiang,2011/4/15,76472.9
Anhui,2011/4/15,28763.05
Fujian,2011/4/15,40660.42
Shanghai,2011/4/16,31961.82
Jiangsu,2011/4/16,104692.0
Zhejiang,2011/4/16,74809.8
Anhui,2011/4/16,28373.25
Fujian,2011/4/16,40211.22
Shanghai,2011/4/17,30140.62
Jiangsu,2011/4/17,100401.0
Zhejiang,2011/4/17,71846.3
Anhui,2011/4/17,28138.92
Fujian,2011/4/17,38702.62
Shanghai,2011/4/18,32766.25
Jiangsu,2011/4/18,103675.0
Zhejiang,2011/4/18,73956.3
Anhui,2011/4/18,28651.2
Fujian,2011/4/18,40342.31
Shanghai,2011/4/19,33358.21
Jiangsu,2011/4/19,106960.01
Zhejiang,2011/4/19,75089.3
Anhui,2011/4/19,28832.7
Fujian,2011/4/19,41032.08
Shanghai,2011/4/20,33288.35
Jiangsu,2011/4/20,106575.0
Zhejiang,2011/4/20,75837.0
Anhui,2011/4/20,28818.21
Fujian,2011/4/20,40840.46
Shanghai,2011/4/21,33703.89
Jiangsu,2011/4/21,107111.0
Zhejiang,2011/4/21,75735.8
Anhui,2011/4/21,28780.09
Fujian,2011/4/21,40928.33
Shanghai,2011/4/22,33965.05
Jiangsu,2011/4/22,107171.0
Zhejiang,2011/4/22,75780.6
Anhui,2011/4/22,28754.32
Fujian,2011/4/22,41443.68
Shanghai,2011/4/23,32143.17
Jiangsu,2011/4/23,105477.0
Zhejiang,2011/4/23,75827.6
Anhui,2011/4/23,28892.8
Fujian,2011/4/23,40687.61
Shanghai,2011/4/24,30417.49
Jiangsu,2011/4/24,100965.02
Zhejiang,2011/4/24,73802.7
Anhui,2011/4/24,28518.09
Fujian,2011/4/24,39783.24
Shanghai,2011/4/25,33000.43
Jiangsu,2011/4/25,105088.0
Zhejiang,2011/4/25,75922.0
Anhui,2011/4/25,28829.64
Fujian,2011/4/25,40673.48
Shanghai,2011/4/26,33853.61
Jiangsu,2011/4/26,107196.01
Zhejiang,2011/4/26,76589.6
Anhui,2011/4/26,29182.23
Fujian,2011/4/26,40993.0
Shanghai,2011/4/27,33575.42
Jiangsu,2011/4/27,106858.0
Zhejiang,2011/4/27,76097.4
Anhui,2011/4/27,28820.49
Fujian,2011/4/27,41818.24
Shanghai,2011/4/28,33264.3
Jiangsu,2011/4/28,105862.0
Zhejiang,2011/4/28,76546.8
Anhui,2011/4/28,29272.1
Fujian,2011/4/28,41131.55
Shanghai,2011/4/29,33276.92
Jiangsu,2011/4/29,106907.01
Zhejiang,2011/4/29,76649.7
Anhui,2011/4/29,29481.59
Fujian,2011/4/29,41261.94
Shanghai,2011/4/30,30679.41
Jiangsu,2011/4/30,101654.0
Zhejiang,2011/4/30,73303.4
Anhui,2011/4/30,29242.98
Fujian,2011/4/30,39622.8
Shanghai,2011/5/1,26223.38
Jiangsu,2011/5/1,82383.0
Zhejiang,2011/5/1,53604.4
Anhui,2011/5/1,26776.06
Fujian,2011/5/1,33236.06
Shanghai,2011/5/2,27010.45
Jiangsu,2011/5/2,86484.0
Zhejiang,2011/5/2,58027.6
Anhui,2011/5/2,26740.92
Fujian,2011/5/2,35041.43
Shanghai,2011/5/3,31213.3
Jiangsu,2011/5/3,99062.0
Zhejiang,2011/5/3,68953.3
Anhui,2011/5/3,27810.39
Fujian,2011/5/3,38342.08
Shanghai,2011/5/4,32469.85
Jiangsu,2011/5/4,104447.0
Zhejiang,2011/5/4,72794.3
Anhui,2011/5/4,28755.8
Fujian,2011/5/4,39331.61
Shanghai,2011/5/5,32860.48
Jiangsu,2011/5/5,107224.0
Zhejiang,2011/5/5,74069.6
Anhui,2011/5/5,29030.52
Fujian,2011/5/5,39866.73
Shanghai,2011/5/6,33787.68
Jiangsu,2011/5/6,108951.0
Zhejiang,2011/5/6,74787.0
Anhui,2011/5/6,29531.97
Fujian,2011/5/6,40556.51
Shanghai,2011/5/7,33237.36
Jiangsu,2011/5/7,109316.01
Zhejiang,2011/5/7,75636.0
Anhui,2011/5/7,30347.81
Fujian,2011/5/7,40890.41
Shanghai,2011/5/8,32168.85
Jiangsu,2011/5/8,106787.01
Zhejiang,2011/5/8,74836.2
Anhui,2011/5/8,30804.54
Fujian,2011/5/8,40293.5
Shanghai,2011/5/9,36010.11
Jiangsu,2011/5/9,112003.01
Zhejiang,2011/5/9,75993.4
Anhui,2011/5/9,31496.62
Fujian,2011/5/9,42438.25
Shanghai,2011/5/10,38404.77
Jiangsu,2011/5/10,113099.0
Zhejiang,2011/5/10,77686.2
Anhui,2011/5/10,30536.6
Fujian,2011/5/10,43863.5
Shanghai,2011/5/11,35446.9
Jiangsu,2011/5/11,106964.01
Zhejiang,2011/5/11,75812.2
Anhui,2011/5/11,27986.66
Fujian,2011/5/11,44637.53
Shanghai,2011/5/12,34625.32
Jiangsu,2011/5/12,107772.02
Zhejiang,2011/5/12,74970.7
Anhui,2011/5/12,28766.53
Fujian,2011/5/12,43430.33
Shanghai,2011/5/13,34534.0
Jiangsu,2011/5/13,108202.01
Zhejiang,2011/5/13,75251.0
Anhui,2011/5/13,29174.18
Fujian,2011/5/13,40230.58
Shanghai,2011/5/14,32654.72
Jiangsu,2011/5/14,107111.0
Zhejiang,2011/5/14,74478.8
Anhui,2011/5/14,29180.45
Fujian,2011/5/14,39581.59
Shanghai,2011/5/15,30872.76
Jiangsu,2011/5/15,103369.01
Zhejiang,2011/5/15,72705.3
Anhui,2011/5/15,28742.97
Fujian,2011/5/15,38145.79
Shanghai,2011/5/16,34296.41
Jiangsu,2011/5/16,107660.0
Zhejiang,2011/5/16,73885.2
Anhui,2011/5/16,29355.36
Fujian,2011/5/16,39608.96
Shanghai,2011/5/17,35439.36
Jiangsu,2011/5/17,110791.01
Zhejiang,2011/5/17,75306.8
Anhui,2011/5/17,29346.19
Fujian,2011/5/17,40357.98
Shanghai,2011/5/18,35423.56
Jiangsu,2011/5/18,111209.0
Zhejiang,2011/5/18,75975.7
Anhui,2011/5/18,29550.94
Fujian,2011/5/18,41131.45
Shanghai,2011/5/19,36401.04
Jiangsu,2011/5/19,112247.99
Zhejiang,2011/5/19,77264.5
Anhui,2011/5/19,29605.82
Fujian,2011/5/19,41734.15
Shanghai,2011/5/20,38060.82
Jiangsu,2011/5/20,112884.01
Zhejiang,2011/5/20,78713.5
Anhui,2011/5/20,28675.01
Fujian,2011/5/20,42075.24
Shanghai,2011/5/21,33847.73
Jiangsu,2011/5/21,107791.01
Zhejiang,2011/5/21,77678.6
Anhui,2011/5/21,27168.57
Fujian,2011/5/21,42296.43
Shanghai,2011/5/22,30485.65
Jiangsu,2011/5/22,101631.47
Zhejiang,2011/5/22,73811.5
Anhui,2011/5/22,26041.62
Fujian,2011/5/22,41146.76
Shanghai,2011/5/23,32126.18
Jiangsu,2011/5/23,104915.0
Zhejiang,2011/5/23,74091.6
Anhui,2011/5/23,25804.84
Fujian,2011/5/23,41090.6
Shanghai,2011/5/24,32515.27
Jiangsu,2011/5/24,107528.01
Zhejiang,2011/5/24,74837.0
Anhui,2011/5/24,27571.86
Fujian,2011/5/24,41178.1
Shanghai,2011/5/25,32969.13
Jiangsu,2011/5/25,108090.01
Zhejiang,2011/5/25,75774.3
Anhui,2011/5/25,28346.86
Fujian,2011/5/25,41304.54
Shanghai,2011/5/26,33341.73
Jiangsu,2011/5/26,108016.01
Zhejiang,2011/5/26,76468.3
Anhui,2011/5/26,28847.01
Fujian,2011/5/26,41961.02
Shanghai,2011/5/27,33260.4
Jiangsu,2011/5/27,107730.0
Zhejiang,2011/5/27,76490.2
Anhui,2011/5/27,29237.82
Fujian,2011/5/27,42030.29
Shanghai,2011/5/28,31450.2
Jiangsu,2011/5/28,105303.0
Zhejiang,2011/5/28,75654.5
Anhui,2011/5/28,29405.04
Fujian,2011/5/28,41822.44
Shanghai,2011/5/29,29922.91
Jiangsu,2011/5/29,101647.99
Zhejiang,2011/5/29,74034.8
Anhui,2011/5/29,29264.76
Fujian,2011/5/29,40769.52
Shanghai,2011/5/30,33124.62
Jiangsu,2011/5/30,105786.01
Zhejiang,2011/5/30,75677.8
Anhui,2011/5/30,29674.72
Fujian,2011/5/30,41399.0
Shanghai,2011/5/31,33961.42
Jiangsu,2011/5/31,107024.0
Zhejiang,2011/5/31,75838.5
Anhui,2011/5/31,29151.19
Fujian,2011/5/31,42190.47
Shanghai,2011/6/1,33979.72
Jiangsu,2011/6/1,108515.0
Zhejiang,2011/6/1,75181.5
Anhui,2011/6/1,29573.11
Fujian,2011/6/1,41189.76
Shanghai,2011/6/2,35150.77
Jiangsu,2011/6/2,110602.0
Zhejiang,2011/6/2,76180.6
Anhui,2011/6/2,30158.95
Fujian,2011/6/2,42185.13
Shanghai,2011/6/3,35118.34
Jiangsu,2011/6/3,111924.99
Zhejiang,2011/6/3,76190.1
Anhui,2011/6/3,30616.45
Fujian,2011/6/3,42060.18
Shanghai,2011/6/4,32383.22
Jiangsu,2011/6/4,108928.0
Zhejiang,2011/6/4,74630.9
Anhui,2011/6/4,29328.36
Fujian,2011/6/4,42537.8
